,loss,mse,mae,root_mean_squared_error,val_loss,val_mse,val_mae,val_root_mean_squared_error
37,0.1762501299381256,0.1762501299381256,0.3128235340118408,0.41982153058052063,0.17510314285755157,0.17510314285755157,0.310097873210907,0.41845327615737915
38,0.17617493867874146,0.17617493867874146,0.3127173185348511,0.4197319746017456,0.17571969330310822,0.17571969330310822,0.3086138069629669,0.41918933391571045
39,0.176169291138649,0.176169291138649,0.31269821524620056,0.4197252690792084,0.175023153424263,0.175023153424263,0.3113161623477936,0.4183577001094818
40,0.17616373300552368,0.17616373300552368,0.31272605061531067,0.4197186231613159,0.1757909506559372,0.1757909506559372,0.30950576066970825,0.41927430033683777
41,0.17609496414661407,0.17609496414661407,0.31264302134513855,0.41963669657707214,0.17493435740470886,0.17493435740470886,0.31121179461479187,0.41825154423713684
42,0.17609024047851562,0.17609024047851562,0.3125849664211273,0.41963106393814087,0.17605732381343842,0.17605732381343842,0.31651848554611206,0.41959184408187866
43,0.17603574693202972,0.17603574693202972,0.3125605881214142,0.41956615447998047,0.17538708448410034,0.17538708448410034,0.3104444444179535,0.4187924265861511
44,0.17603328824043274,0.17603328824043274,0.3125472366809845,0.4195632040500641,0.18025366961956024,0.18025366961956024,0.3093809485435486,0.42456290125846863
45,0.17607080936431885,0.17607080936431885,0.3125971853733063,0.419607937335968,0.17475776374340057,0.17475776374340057,0.3123936951160431,0.41804039478302
46,0.17597995698451996,0.17597995698451996,0.31253814697265625,0.4194996654987335,0.176230326294899,0.176230326294899,0.3175857961177826,0.41979795694351196
47,0.17597472667694092,0.17597472667694092,0.3125258684158325,0.4194934070110321,0.1749742031097412,0.1749742031097412,0.30971428751945496,0.4182991683483124
48,0.17589162290096283,0.17589162290096283,0.31242895126342773,0.4193943440914154,0.17539002001285553,0.17539002001285553,0.3122667968273163,0.4187959134578705
49,0.1759265810251236,0.1759265810251236,0.312430739402771,0.4194360375404358,0.1753254532814026,0.1753254532814026,0.30914542078971863,0.4187188148498535
50,0.1758522391319275,0.1758522391319275,0.3123900592327118,0.4193474054336548,0.17488902807235718,0.17488902807235718,0.31311771273612976,0.418197363615036
51,0.1758853644132614,0.1758853644132614,0.3124401569366455,0.4193868935108185,0.17530928552150726,0.17530928552150726,0.31167444586753845,0.4186995029449463
52,0.17585237324237823,0.17585237324237823,0.31240466237068176,0.4193475544452667,0.1770949512720108,0.1770949512720108,0.3200737237930298,0.4208265244960785
53,0.17589768767356873,0.17589768767356873,0.3124430775642395,0.4194015860557556,0.1763523668050766,0.1763523668050766,0.30769768357276917,0.41994330286979675
